info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Tue Mar 08 2022 18:02:44 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Tue Mar 08 2022 18:02:45 GMT+0100 (Central European Standard Time) | Connected to the database
info: Tue Mar 08 2022 18:02:45 GMT+0100 (Central European Standard Time) | Connected to the database
info: Tue Mar 08 2022 18:02:45 GMT+0100 (Central European Standard Time) | Connected to the database
info: Tue Mar 08 2022 18:02:45 GMT+0100 (Central European Standard Time) | Connected to the database
