info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:22:01 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:22:02 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:22:02 GMT+0100 (Central European Standard Time) | Connected to the database
info: Fri Mar 11 2022 18:22:02 GMT+0100 (Central European Standard Time) | Connected to the database
info: Fri Mar 11 2022 18:22:02 GMT+0100 (Central European Standard Time) | Connected to the database
info: Fri Mar 11 2022 18:22:02 GMT+0100 (Central European Standard Time) | Connected to the database
