info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Fri Mar 11 2022 18:26:23 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Fri Mar 11 2022 18:26:24 GMT+0100 (Central European Standard Time) | Connected to the database
info: Fri Mar 11 2022 18:26:24 GMT+0100 (Central European Standard Time) | Connected to the database
info: Fri Mar 11 2022 18:26:24 GMT+0100 (Central European Standard Time) | Connected to the database
info: Fri Mar 11 2022 18:26:24 GMT+0100 (Central European Standard Time) | Connected to the database
